UserID,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir
1,0,1,1,1,1,1,3,0,1,1,1,1,0,1,1,0,1,0,0
2,2,0,0,1,1,0,2,3,1,2,0,0,1,0,0,0,0,0,0
3,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0
4,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
5,2,1,2,3,2,1,2,1,3,2,0,2,1,1,1,0,0,0,0
7,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
9,1,0,0,1,0,1,7,2,3,1,0,0,2,0,0,0,0,0,0
10,3,0,0,5,1,3,3,2,0,1,0,0,2,1,0,0,0,0,0
11,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,1,0,0,2,6,1,3,0,0,4,1,0,0,0,0,0
15,1,0,0,4,1,2,7,1,2,1,1,2,1,2,0,0,0,0,1
17,0,0,0,0,0,0,2,3,1,4,0,0,3,0,0,0,0,0,0
18,4,1,2,5,1,4,3,3,1,1,1,0,2,0,1,0,0,0,0
19,2,0,0,2,0,0,2,6,2,3,1,0,3,0,1,0,0,0,0
20,0,0,0,0,0,0,1,4,0,2,0,0,3,1,0,0,0,0,0
21,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,0,0,3,2,1,4,8,1,3,0,1,5,1,0,0,0,0,0
23,2,1,1,3,3,2,4,4,2,4,2,0,3,0,1,0,1,0,0
24,0,0,0,7,1,3,3,2,2,2,0,0,0,1,1,0,0,0,0
25,4,0,0,0,0,0,2,5,0,1,0,0,1,1,0,0,0,0,0
26,2,0,0,5,1,2,3,2,2,1,1,0,1,0,1,0,0,0,0
27,1,0,0,0,0,2,1,1,1,2,0,2,0,0,0,0,0,0,1
28,2,0,0,3,3,0,2,1,0,1,1,2,2,0,0,0,0,0,0
29,0,0,0,0,0,1,2,2,2,2,1,2,0,0,0,0,0,1,0
30,0,0,0,0,0,0,2,3,1,1,1,1,1,1,0,0,0,0,0
31,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
33,3,0,1,2,1,0,4,3,0,0,0,0,3,1,1,0,0,0,0
34,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
35,0,1,1,2,1,4,3,1,1,1,0,1,0,0,1,0,1,0,0
36,7,2,2,7,0,1,7,5,2,6,0,1,4,2,1,0,0,0,0
37,0,0,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
