UserID,MovieID,Rating
1803,110,5
1029,2791,3
1128,1387,3
4861,1210,4
4446,733,3
2299,1580,4
5492,1036,4
1926,1961,5
4535,1270,4
3740,1196,4
2384,377,5
4064,318,3
216,1200,4
3697,2355,4
3726,1291,5
798,356,5
136,2657,4
2056,2987,4
1943,1090,4
4791,47,3
3378,912,5
2545,2804,5
687,1732,5
1717,527,5
1383,1923,4
791,377,5
3752,34,5
4786,1247,5
1538,920,4
3626,2268,5
4645,908,5
4121,2529,5
3151,2174,2
2507,1610,3
4702,2997,4
1101,1,4
5852,2997,5
1472,2797,5
5045,3253,3
4149,32,4
5790,2657,3
2638,2657,2
5777,1673,4
3037,2706,1
1389,2640,4
2374,527,5
2507,3481,4
5371,3671,3
1851,908,4
3822,2321,4
4800,2858,5
4800,2115,3
5847,1219,5
2272,3578,5
4081,1225,5
549,1374,4
4962,2406,4
1451,1721,4
2585,608,4
1820,1374,5
53,2194,4
3180,1278,5
1980,1197,3
5846,2858,5
2438,2529,5
2581,2657,1
1275,260,5
3580,587,5
5534,2987,3
406,2716,4
1353,1265,5
2153,2997,4
1264,2599,5
410,1968,4
698,1732,5
1361,1079,5
139,2640,2
5091,2115,4
5172,111,4
5097,1136,5
1960,541,5
3906,1036,4
1000,260,5
1722,1214,5
4640,2640,3
5686,1222,2
2380,1393,4
462,1270,4
4368,2985,2
4796,1265,3
1553,923,3
1789,2706,5
1779,592,1
4411,2640,4
1680,3448,5
54,1206,4
1779,1196,5
4899,1721,1
1171,3623,5
2664,1193,4
4373,1193,5
4724,296,4
1724,1393,5
2572,32,4
5250,1198,3
4139,1573,2
2092,2791,5
2882,318,5
5682,1653,5
5441,1917,4
712,1213,5
2148,2657,5
609,541,4
3825,541,5
1757,3256,4
4807,1240,5
819,733,3
2463,608,3
3551,593,4
5,608,4
1088,50,5
1022,2683,1
2749,1210,5
4075,1198,3
2583,1387,5
2166,2291,4
5876,1036,4
2544,3578,3
3338,1968,4
4196,1961,5
3431,260,5
1545,260,4
5771,3421,4
4303,480,4
3151,919,5
1899,595,4
3272,3256,4
5317,590,3
5343,588,5
1234,3481,4
3022,223,4
4907,2396,4
3919,2858,1
507,1617,3
4790,593,5
2420,1610,5
4975,1356,3
1340,1,5
2812,2302,4
3733,1136,4
1918,2396,5
4489,1641,5
5386,110,5
3697,480,5
2085,1784,5
5395,2762,5
5991,2355,5
3679,541,4
3105,969,3
4318,1225,4
4253,2700,2
2624,593,5
3464,1193,5
4702,1097,4
5103,1374,4
3694,1580,3
4635,1270,4
570,595,4
3581,2628,4
2888,2997,2
1066,1307,4
2281,858,5
2389,1517,5
3683,2959,3
2164,3578,5
1015,1221,5
3169,1356,5
5759,2571,5
2756,588,3
396,908,4
3704,3623,2
1333,1240,3
2268,2858,4
3878,1214,5
2631,1136,5
1218,590,3
4271,912,5
854,1240,4
4534,3623,5
3934,3751,3
3998,924,4
2864,2599,4
3082,2699,3
854,3753,4
5198,1784,3
5759,1784,2
3013,1198,4
1628,541,4
5302,3753,4
5398,2858,5
687,2657,3
4458,1240,3
1753,2571,5
2286,223,4
65,3147,5
1349,1196,5
509,21,3
3243,2762,5
4150,592,3
2594,608,2
5253,1,4
706,3176,4
608,1917,3
5404,733,3
5074,3623,1
5404,1387,4
4745,1230,5
2761,349,4
426,3793,3
1835,2000,5
5341,1210,4
5964,2355,4
3147,223,4
5942,1307,3
981,2804,4
2205,364,3
664,480,5
1437,3448,4
1558,1198,5
3118,589,4
5448,587,2
1599,318,4
1345,3114,5
1762,1240,5
2013,1270,5
1322,2918,4
3753,1259,5
4326,1094,5
3391,1376,4
173,318,5
5973,1676,4
2792,2291,3
2890,1196,5
4303,21,3
1947,912,5
2222,1961,5
3726,457,4
4087,2716,4
5819,3256,3
4855,2324,5
757,3527,4
4954,2791,1
4858,1196,5
1322,3255,5
3203,2355,5
1203,3081,4
1683,587,5
5730,587,4
4816,733,5
5475,2959,5
4271,1784,4
2177,1259,4
1767,1206,5
4510,32,2
237,1721,5
5562,3471,4
1609,457,4
2824,364,5
3242,380,3
5685,736,3
3829,1242,4
5250,110,5
4013,858,3
3082,919,5
3578,1784,4
2737,2321,3
3489,589,5
5180,111,4
3414,912,4
5128,1258,4
5779,1206,3
3491,39,4
3655,2797,4
2896,1923,3
4647,1278,3
1072,1247,5
5755,1214,5
5858,1222,4
461,608,3
1904,1242,5
2328,608,3
5916,1094,3
5116,2858,5
4356,260,5
2015,1304,5
1880,1954,4
1422,110,5
1629,21,5
3129,2321,3
2663,3408,5
4865,2916,2
3815,1270,5
2489,3253,3
1769,2706,3
4517,2804,5
4323,2916,3
3377,1610,4
2579,2858,5
4801,1387,5
4802,920,4
273,648,5
4994,3471,5
549,3253,4
4063,1242,5
4457,2692,4
2539,1222,4
3384,1230,5
938,3751,5
3048,2791,4
528,3175,4
982,920,5
4409,3578,4
1650,1653,4
743,39,4
5536,2268,4
705,593,5
3708,110,4
5178,2706,3
1207,150,4
4417,1370,3
5376,1374,5
10,1291,5
948,1784,4
960,589,4
2680,2700,4
5829,1036,3
3717,2762,5
5434,1206,4
198,1210,5
1224,1278,4
3326,480,4
2909,2115,5
4072,588,4
5502,357,1
2866,2706,3
4395,1,3
2986,3527,3
4404,3160,5
1674,39,4
4023,1387,5
790,356,3
782,3793,3
4251,1307,4
377,480,5
1369,593,4
3312,357,4
438,2355,4
4237,593,5
5397,2700,3
1333,2000,4
2883,2791,4
3182,1527,4
2808,1961,3
5636,1242,3
1408,2763,3
3112,1617,5
179,1222,4
849,3175,2
2041,2858,4
924,1617,5
3274,1376,3
2580,1270,3
495,260,5
3401,2000,5
1227,593,3
3608,21,5
1530,3160,4
3129,1653,4
19,260,3
5427,260,5
1912,364,2
3614,1,3
5466,3623,5
1059,2406,3
588,1079,5
3327,356,4
2129,1610,4
2953,3114,4
310,1307,5
4356,1673,4
4072,50,5
4653,1247,3
5223,1968,3
1451,3421,3
4927,1676,3
2966,349,5
4948,1221,4
1113,39,3
1941,1391,4
1950,316,3
4481,733,3
5605,3793,1
1264,1954,4
2929,2640,4
673,1259,3
5227,2916,5
3129,2700,5
1389,1393,2
3119,2959,1
5183,367,3
3963,858,5
5413,223,5
1733,296,5
2566,1214,3
1369,296,5
4950,3408,4
746,3448,3
1000,3751,4
2677,527,4
5463,2762,4
2331,1732,2
4518,588,5
3308,380,3
5955,2302,4
1140,110,3
2194,1198,5
4098,1036,5
2899,2100,5
4054,39,4
3733,3253,3
4033,2804,5
5560,1097,5
3366,1291,5
4401,1240,4
3484,2174,3
3425,2918,4
4879,1527,4
4322,2268,4
123,2599,3
5558,736,2
2904,1393,3
3499,1200,4
5788,480,4
1846,1968,3
4790,1090,4
4611,32,2
3733,1240,3
2282,2985,5
4906,527,4
2810,595,5
169,1288,4
984,924,4
3300,924,3
2853,39,3
2025,50,4
3158,356,3
4089,1221,5
3579,588,3
2934,1721,5
2073,1573,3
2282,733,5
4089,2599,4
1276,1641,3
3536,316,4
543,32,5
5686,1210,3
3816,1376,3
1418,1197,4
424,1097,4
5820,2028,5
3626,349,4
5556,2355,5
4991,1198,4
1074,3361,2
2659,1252,5
5527,1097,2
2753,2791,3
2126,1917,3
1504,1923,4
2131,1544,2
3044,608,5
5795,1370,4
2803,1094,4
1866,1608,4
1387,608,5
1152,3081,3
2567,3147,4
2848,3793,5
4688,2406,5
5598,1923,5
800,1527,1
2847,590,2
869,2985,4
765,1089,4
5223,3751,4
777,1265,4
985,47,3
4381,2918,3
4948,1097,1
3509,2858,5
1611,1376,2
4101,593,4
2225,3753,2
5306,1265,5
193,1704,4
2535,920,5
3196,2804,5
4049,3471,5
4693,527,5
3243,380,4
5161,1676,4
5196,296,3
5505,1610,3
1182,2396,3
5293,2028,4
3731,1374,4
1777,1198,4
3591,1610,3
5717,2706,5
839,2012,4
2228,2763,3
4767,912,5
2851,3176,4
1803,2571,5
1584,3160,5
5232,457,3
2263,1294,3
1151,480,3
137,3418,4
610,608,4
5974,111,5
4673,3176,5
5580,1197,5
4942,260,5
184,296,5
3423,920,3
1051,588,5
5120,858,5
3396,3793,4
3253,318,3
198,2194,5
2931,1089,4
3773,2706,5
3226,1374,5
3329,1288,5
2711,2628,1
1701,3255,4
30,2692,3
3518,1210,4
1222,736,2
5387,1968,2
899,356,5
4362,2858,5
4303,1304,5
4104,1097,4
2912,2699,4
4099,1617,4
4007,3361,4
5271,3471,3
5265,1219,5
4036,2321,3
2537,2571,4
1881,1210,4
9,912,4
5193,1214,5
569,1580,4
3336,2987,3
3394,1954,4
1099,223,5
1291,1721,2
403,1213,4
179,1196,4
5645,3253,5
1203,47,5
4222,1208,4
53,1610,5
4935,110,4
1015,1961,4
1890,3702,3
223,3114,5
5788,2762,3
48,480,5
2959,3175,4
2777,3418,2
700,32,5
1803,589,5
5254,223,3
3618,2321,3
3371,593,3
3768,380,3
5015,1391,4
5994,2692,4
3888,919,5
3100,593,5
687,3702,4
3532,2028,5
5085,3361,4
1791,608,5
400,1197,4
2403,3471,4
15,527,4
4279,1374,4
1187,1923,3
4575,1258,1
954,1127,4
3574,780,4
5284,2700,1
4685,1732,3
5720,1089,4
1974,364,3
544,364,4
5837,1198,4
5889,2716,4
5488,2628,2
1643,1240,5
5733,356,3
2761,3793,4
2537,1196,4
223,364,5
2919,589,5
